2016-01-02~05:15:00,5.04983768183944E8,834.44,97.989
2016-01-02~05:30:00,5.04984668183944E8,834.389,95.702
2016-01-02~05:45:00,5.04985568183944E8,834.337,93.458
2016-01-02~06:00:00,5.04986468183945E8,834.286,91.264
2016-01-02~06:15:00,5.04987368183945E8,834.234,89.124
2016-01-02~06:30:00,5.04988268183945E8,834.183,87.045
2016-01-02~06:45:00,5.04989168183945E8,834.132,85.032
2016-01-02~07:00:00,5.04990068183946E8,834.08,83.092
2016-01-02~07:15:00,5.04990968183946E8,834.029,81.231
2016-01-02~07:30:00,5.04991868183946E8,833.977,79.456
2016-01-02~07:45:00,5.04992768183947E8,833.926,0.333
2016-01-02~08:00:00,5.04993668183947E8,833.874,0.33
2016-01-02~08:15:00,5.04994568183947E8,833.823,74.715
2016-01-02~08:30:00,5.04995468183948E8,833.772,73.353
2016-01-02~08:45:00,5.04996368183948E8,833.721,72.113
2016-01-02~09:00:00,5.04997268183948E8,833.669,71.0
2016-01-02~09:15:00,5.04998168183948E8,833.618,70.023
2016-01-02~09:30:00,5.04999068183949E8,833.567,69.186
2016-01-02~09:45:00,5.04999968183949E8,833.516,68.496
2016-01-02~10:00:00,5.05000868183949E8,833.465,67.957
2016-01-02~10:15:00,5.0500176818395E8,833.414,67.574
2016-01-02~10:30:00,5.0500266818395E8,833.363,67.348
2016-01-02~10:45:00,5.0500356818395E8,833.312,67.282
2016-01-02~11:00:00,5.05004468183951E8,833.261,67.377
2016-01-02~11:15:00,5.05005368183951E8,833.21,67.63
2016-01-02~11:30:00,5.05006268183951E8,833.159,68.042
2016-01-02~11:45:00,5.05007168183951E8,833.108,68.607
2016-01-02~12:00:00,5.05008068183952E8,833.057,69.324
2016-01-02~12:15:00,5.05008968183952E8,833.006,70.186
2016-01-02~12:30:00,5.05009868183952E8,832.956,71.188
2016-01-02~12:45:00,5.05010768183953E8,832.905,72.323
2016-01-02~13:00:00,5.05011668183953E8,832.854,73.586
2016-01-02~13:15:00,5.05012568183953E8,832.804,74.968
2016-01-02~13:30:00,5.05013468183954E8,832.753,76.463
2016-01-02~13:45:00,5.05014368183954E8,832.703,78.064
2016-01-02~14:00:00,5.05015268183954E8,832.652,79.763
2016-01-02~14:15:00,5.05016168183955E8,832.602,81.554
2016-01-02~14:30:00,5.05017068183955E8,832.551,83.429
