0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
20 [main] INFO kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
21 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
21 [main] INFO kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover.curiosity.1537923636758
21 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
21 [main] INFO kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
50 [main] INFO kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover.curiosity.1537923636758_zion-mainframe-1537923636994-ec072252], Connecting to zookeeper instance at localhost:2181
55 [ZkClient-EventThread-17-localhost:2181] INFO org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zion-mainframe
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.version=10.0.2
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-11-openjdk-amd64
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=target/mission.control-2.0-shaded.jar
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/tmp
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Linux
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=amd64
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.version=4.15.0-34-generic
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanket
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/home/sanket
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/home/sanket/Documents/workspace/Mission.Control
58 [main] INFO org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@4bbf6d0e
66 [main] INFO org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
69 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
