1 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
31 [main] INFO kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
31 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
31 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
31 [main] INFO kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover.curiosity.1517311247429
31 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
31 [main] WARN kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
31 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
31 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
31 [main] INFO kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
72 [main] INFO kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover.curiosity.1517311247429_zion-mainframe-1517311247686-e9846d8f], Connecting to zookeeper instance at localhost:2181
79 [ZkClient-EventThread-14-localhost:2181] INFO org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zion-mainframe
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_151
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=target/mission.control-1.2-shaded.jar
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=$LD_LIBRARY_PATH:"/home/sanket/Documents/workspace/SpiceUtilities/src/main/resources/JNISpice/lib/libJNISpice.so":/home/sanket/Documents/workspace/SpiceUtilities/src/main/resources/JNISpice/lib/libJNISpice.so:/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/tmp
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Linux
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=amd64
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.version=4.13.0-32-generic
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanket
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/home/sanket
85 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/home/sanket/Documents/workspace/Mission.Control
