0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
59 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
59 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
59 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
60 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
60 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
60 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
61 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
61 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
61 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
5394 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
5422 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_5)
5502 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
5502 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
5518 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
5519 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
5537 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
5538 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
5540 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
5545 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
5553 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
5563 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
5563 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
5564 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
183873 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
183873 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
183873 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
183873 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
183874 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
183874 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 4 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
183875 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 4 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
626243 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
626243 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 5 for 1 topic(s) Set(earth_to_curiosity_5)
626244 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
626244 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
626245 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
626245 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
626246 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-mainframe:9092
626246 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
626246 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
626247 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
