0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
108 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
108 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
108 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
108 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
108 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
109 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
110 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
110 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
110 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
11389 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
11413 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_5)
11465 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
11465 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
11492 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
11494 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
11518 [main] WARN kafka.producer.BrokerPartitionInfo  - Error while fetching metadata [{TopicMetadata for topic earth_to_curiosity_5 -> 
No partition metadata for topic earth_to_curiosity_5 due to kafka.common.LeaderNotAvailableException}] for topic [earth_to_curiosity_5]: class kafka.common.LeaderNotAvailableException 
11532 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
11533 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 1 for 1 topic(s) Set(earth_to_curiosity_5)
11535 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
11535 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
11556 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
