0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
33 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
33 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
33 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
33 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
33 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
34 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
34 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
34 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
35 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
2294 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
2320 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_5)
2365 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
2365 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
2377 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
2378 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
2388 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
2389 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
2390 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
2393 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
2399 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
2406 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
2406 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
2407 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
621582 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
621582 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 3 for 1 topic(s) Set(earth_to_curiosity_5)
621583 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
621583 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
621584 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
621584 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
621585 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-mainframe:9092
621585 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
621585 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
621585 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
621585 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
621586 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 5 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
621587 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
621587 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
621589 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 5 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
1766740 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
1766742 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 6 for 1 topic(s) Set(earth_to_curiosity_5)
1766743 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
1766744 [main] INFO kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
1766749 [main] INFO kafka.producer.SyncProducer  - Disconnecting from localhost:9092
1766752 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
1766752 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-mainframe:9092
1766753 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
1766753 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
1766753 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
1766754 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
1766754 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 8 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
1766762 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
1766762 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
1766767 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 8 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
3024547 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
