0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
19 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
19 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
19 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
19 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
19 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
20 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to zion-portable:9092
20 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
20 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
20 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
5168 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
5187 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,zion-portable,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_6)
5381 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 186240 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
5381 [main] INFO kafka.producer.SyncProducer  - Connected to zion-portable:9092 for producing
5425 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-portable:9092
5426 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_6)
5439 [main] WARN kafka.producer.BrokerPartitionInfo  - Error while fetching metadata [{TopicMetadata for topic earth_to_curiosity_6 -> 
No partition metadata for topic earth_to_curiosity_6 due to kafka.common.LeaderNotAvailableException}] for topic [earth_to_curiosity_6]: class kafka.common.LeaderNotAvailableException 
5442 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_6
5442 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,zion-portable,9092) with correlation id 1 for 1 topic(s) Set(earth_to_curiosity_6)
5445 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 186240 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
5445 [main] INFO kafka.producer.SyncProducer  - Connected to zion-portable:9092 for producing
5451 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-portable:9092
5452 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_6)
5454 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_6,0] has leader 0
5455 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_6 are 0
5460 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_6,0]
5466 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 2 for topics [earth_to_curiosity_6,0] to broker 0 on zion-portable:9092
5475 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 186240 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
5476 [main] INFO kafka.producer.SyncProducer  - Connected to zion-portable:9092 for producing
5476 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 2 for topics [earth_to_curiosity_6,0] to broker 0 on zion-portable:9092
18907 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
18908 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_6
18908 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_6,0] has leader 0
18908 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_6 are 0
18908 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_6,0]
18909 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 4 for topics [earth_to_curiosity_6,0] to broker 0 on zion-portable:9092
18909 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 4 for topics [earth_to_curiosity_6,0] to broker 0 on zion-portable:9092
120359 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
120360 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_6
120360 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_6,0] has leader 0
120360 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_6 are 0
120360 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_6,0]
120360 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 6 for topics [earth_to_curiosity_6,0] to broker 0 on zion-portable:9092
120361 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 6 for topics [earth_to_curiosity_6,0] to broker 0 on zion-portable:9092
