0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
109 [main] WARN kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
109 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
109 [main] WARN kafka.utils.VerifiableProperties  - Property group.id is not valid
110 [main] INFO kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to zion-mainframe:9092
110 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
110 [main] WARN kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
2749 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Handling 1 events
2774 [main] INFO kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,zion-mainframe,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_5)
2822 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
2823 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
2837 [main] INFO kafka.producer.SyncProducer  - Disconnecting from zion-mainframe:9092
2839 [main] DEBUG kafka.client.ClientUtils$  - Successfully fetched metadata for 1 topic(s) Set(earth_to_curiosity_5)
2849 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Getting broker partition info for topic earth_to_curiosity_5
2849 [main] DEBUG kafka.producer.BrokerPartitionInfo  - Partition [earth_to_curiosity_5,0] has leader 0
2850 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Broker partitions registered for topic: earth_to_curiosity_5 are 0
2855 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Sending 1 messages with no compression to [earth_to_curiosity_5,0]
2860 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sending messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
2868 [main] DEBUG kafka.network.BlockingChannel  - Created socket with SO_TIMEOUT = 10000 (requested 10000), SO_RCVBUF = 530904 (requested -1), SO_SNDBUF = 102400 (requested 102400), connectTimeoutMs = 10000.
2868 [main] INFO kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
2870 [main] DEBUG kafka.producer.async.DefaultEventHandler  - Producer sent messages with correlation id 2 for topics [earth_to_curiosity_5,0] to broker 0 on zion-mainframe:9092
